Título,URL,Descrição,Palavras-chave,Habilidade(s) - BNCC,Tipos de Mídias,Disciplina,Temas Curriculares,Temas Transversais,"Etapas, anos e modalidades",Licenças de Uso,Idioma,Acessibilidade,Conectividade,Oferecido por,Produzido por,Etnias indígenas,Anos escolar,ID (não editar)
Animal maze,http://elt.oup.com/student/i-spy/games/animals?cc=br&selLanguage=pt,"Jogo. O objetivo do jogo é cruzar um labirinto dentro de um determinado tempo. Ao ouvir o nome de um animal, o jogador deve clicar na imagem correspondente e, assim, percorrer seu caminho até o final.",game; vocabulary; animals,EF06LI16; EF06LI11; EF06LI18.,Jogo,Lingua inglesa,,,,Oxford University Press,Inglês,N,Online,,Oxford University Press,,,54b946a669702d490aaf1800
Aurora guide: how the northern lights work,http://www.space.com/15213-northern-lights-aurora-guide-infographic.html,"Infográfico que permite visualizar e compreender a  aurora boreal, um dos fenômenos mais admirados da natureza, que ocorre nas regiões polares do norte do planeta Terra, além de outros, como Júpiter, Saturno e Marte. Pode ser trabalhado com o professor Língua Inglesa, para desenvolver as habilidades de observação, reconhecer e identificar causa e efeito.",reading; infographic; northern lights; sciences,"EF07LI06, EF07LI07, EF07LI08, EF07LI09",,Lingua inglesa,,,,Copyright,inglês,Acessível para deficiência auditiva,Online,,space.com,,,54b946ac69702d490ab71800
How China’s first space station will work,http://www.space.com/11591-china-space-station-tiangong-infographic.html,Infográfico que favorece a compreensão do funcionamento do primeira estação espacial da China. ,,EF09LI18,,Lingua inglesa,,,,Copyright,,Acessível para baixa visão,Online,,,,,54b946b069702d490aba1800
Hidden haunts,https://www.facebook.com/appcenter/hiddenhaunts?fb_source=appcenter,Jogo. O jogador assume o papel de um detetive para resolver casos sobrenaturais e encontrar objetos escondidos em cenas fotográficas impressionantes. O jogo segue uma narrativa em que os personagens dão dicas e instruções.,game; narrative; story,EF07LI07,,Lingua inglesa,,,,Copyright,,,Online,,,,,54b946b369702d490abe1800
Amazing spelling fleas,http://www.tvokids.com/games/amazingspellingfleas,"Jogo para treinar, de forma dinâmica, vocabulário em inglês. Apresenta alguns desafios simples ao jogador, que precisa realizá-lo em um curto espaço de tempo. Os desafios referem-se a ortografia, compreensão de frases simples, identificação da classe gramatical de determinadas palavras.",game; spelling; vocabulary,"EF06LI17, EF06LI21, EF06LI11",Jogo,Lingua inglesa,,,,Copyright,Inglês,N,Online,,,,,54b946b869702d490ac61800
Color maze,http://elt.oup.com/student/i-spy/games/colour?cc=br&selLanguage=pt,"Jogo. O objetivo do jogo é cruzar um labirinto dentro de um determinado tempo. Ao ouvir o nome de uma cor, o jogador deve clicar na imagem correspondente e, assim, percorrer seu caminho até o final.",game; vocabulary; colors,EF06LI16; EF06LI11; EF06LI18.,Jogo,Lingua inglesa,,,,Copyright,inglês,,Online,,,,,54b946c369702d490ad51800
Comic creator,http://www.readwritethink.org/files/resources/interactives/comic/index.html,"O aplicativo “Comic Creator” possibilita a  criação de cartoons com personagens, balões de fala e objetos, para a criação de histórias envolvendo diálogos entre os personagens proporcionando assim o desenvolvimento do repertório lexical, a criatividade e o aprimoramento dos conhecimentos linguísticos de uma forma contextualizada.",writing,EF06LI15; EF06LI14,Software,Lingua inglesa,,,Ensino Fundamental,Copyright,,,Online,,International Reading Association,,5º ano EF/6º ano EF,54b946fe69702d490a201900
Verb machine,http://learnenglish.britishcouncil.org/en/word-games/verb-machine,"Jogo interativo, com objetivo de formar sentenças em diferentes tempos verbais ao clicar nas opções da Máquina de Verbos.",game; verb tenses; passive voice; grammar,"EF09LI16, EF08LI14, EF07LI18",Jogo,Lingua inglesa,,,Ensino Fundamental,Copyright,inglês,,Online,,British Council,,6º ano EF/7º ano EF,54b948d569702d490a5e1b00
Wordshake,http://learnenglish.britishcouncil.org/en/word-games/wordshake,"Jogo interativo com objetivo de formar o maior número de palavras com as letras ofertadas. Possibilita a checagem de hipóteses, memorização e ampliação de vocabulário.",game; vocabulary; spelling,"EF06LI17, EF07LI15, EF08LI12",Jogo,Lingua inglesa,,,Ensino Fundamental,Copyright,,,Online,,British Council,,6º ano EF/7º ano EF,54b948df69702d490a6a1b00
How to understand the difference between the UK and Great Britain,http://learnenglish.britishcouncil.org/en/how/how-understand-difference-between-uk-and-great-britain,"Vídeo que explica a diferença entre Reino Unido e Grã-Bretanha, com destaque para o mapeamento dos países das ilhas britânicas e sua diferença política.",watching; British Islands,EF06LI24,Vídeo,Lingua inglesa,,,,Copyright,,,Online,,British Council,,,54b948e369702d490a6e1b00
